Name,Type,Organization,Ecosystem Segment,Role/Relevance,Website,Email/Contact URL,LinkedIn,X/Twitter,YouTube/Podcast,Newsletter/Substack,Estimated Reach,Reach Source,Recent Activity,Potential Ask,Outreach Angle,Priority Score,Notes,Source URLs
"Thomas H. Greco Jr.","Person","Beyond Money","Monetary reform","Author and central authority on moneyless exchange, community currencies, credit clearing, and monetary theory","https://beyondmoney.net/","https://beyondmoney.net/contact/","","","","https://beyondmoney.net/","Specialist authority; public follower count not verified","https://beyondmoney.net/about/","Active site with recent revised-edition material","Anchor author platform","Position Greco as a long-time authority whose subject has become newly mainstream","5","Use as author-platform proof, not as primary market-size proof","https://beyondmoney.net/about/ | https://beyondmoney.net/the-end-of-money-and-the-future-of-civilization/"
"Schumacher Center for a New Economics","Organization","Schumacher Center","Local currencies / regenerative economics","Long-running new economics institution connected to BerkShares and local currency education","https://centerforneweconomics.org/","https://centerforneweconomics.org/contact/","","","","https://centerforneweconomics.org/share/","Institutional audience; exact list size not public in scan","https://centerforneweconomics.org/share/","Active events/newsletter presence","Webinar, review, excerpt, partner event","Greco as the monetary infrastructure layer of local economies","5","High-confidence publisher-facing target","https://centerforneweconomics.org/apply/local-currencies-program/ | https://centerforneweconomics.org/share/"
"BerkShares","Organization","BerkShares / Schumacher ecosystem","Local currencies","Recognizable US local currency example and practical channel","https://berkshares.org/","","","","","","Local currency practitioner audience; exact reach not verified","https://centerforneweconomics.org/apply/local-currencies-program/","Referenced by Schumacher Center local currency program","Local launch event or case-study bridge","BerkShares as living proof that local money remains legible","4","Use with Schumacher Center rather than standalone first contact","https://centerforneweconomics.org/apply/local-currencies-program/"
"P2P Foundation","Organization","P2P Foundation","Commons / P2P","Commons and peer-production knowledge network founded around Michel Bauwens's work","https://p2pfoundation.net/","https://p2pfoundation.net/contact/","","","","","Global commons knowledge network; exact reach not verified","https://p2pfoundation.net/home-page/the-p2p-foundations-web-ecosystem","Active web ecosystem","Review, repost, interview","Credit commons as peer-governed exchange infrastructure","5","Strong intellectual-network fit","https://p2pfoundation.net/home-page/the-p2p-foundations-web-ecosystem | https://p2pfoundation.net/the-p2p-foundation/who-we-are"
"Michel Bauwens","Person","P2P Foundation","Commons / P2P","Founder and vision coordinator associated with commons, peer production, governance, and post-capitalist theory","https://p2pfoundation.net/","","","","","","Public thinker; exact current social reach not verified","https://p2pfoundation.net/the-p2p-foundation/who-we-are","P2P Foundation pages active","Review or dialogue","Greco's credit commons arguments as part of commons governance","5","Priority for intellectual legitimacy","https://p2pfoundation.net/the-p2p-foundation/who-we-are"
"International Reciprocal Trade Association","Organization","IRTA","Mutual credit / barter","Trade association for barter, reciprocal trade, alternative capital systems, standards, advocacy, and certification","https://irta.com/","https://irta.com/contact/","","","","","Industry association; Credit Commons cites 400,000 businesses and $14B trade in 2019 as barter-industry evidence","https://creditcommonssociety.org/mutual-credit/","Official site recently crawled; active membership pages","Industry review, conference, Chapter 21 circulation","Greco gives theoretical legitimacy to reciprocal trade","5","Best practitioner validation target","https://irta.com/ | https://creditcommonssociety.org/mutual-credit/"
"Credit Commons Society","Organization","Credit Commons Society","Mutual credit / commons","Promotes Credit Commons Protocol between mutual credit, local business networks, lending circles, and community currencies","https://creditcommonssociety.org/","https://creditcommonssociety.org/contact/","","","","","Specialist practitioner network; exact reach not verified","https://creditcommonssociety.org/","Active website","Technical/practitioner review","Greco's work as foundation for interoperable mutual credit","5","High-confidence Chapter 21 review target","https://creditcommonssociety.org/ | https://creditcommonssociety.org/mutual-credit/"
"Mutual Credit Services","Organization","Mutual Credit Services","Mutual credit","Provides open-source software, training, and support for mutual credit implementation","https://www.mutualcredit.services/","https://www.mutualcredit.services/about","","","","","Practitioner/service network; exact reach not verified","https://www.mutualcredit.services/about","Active website","Webinar, practitioner endorsement","Mutual credit without ideology: business and community liquidity","5","Good fit for practical credibility","https://www.mutualcredit.services/ | https://www.mutualcredit.services/about"
"Post Carbon Institute","Organization","Post Carbon Institute / Resilience.org","Post-growth / energy economics","Resilience and energy-transition nonprofit with daily article site and podcasts","https://www.postcarbon.org/","https://www.postcarbon.org/contact/","","","https://www.resilience.org/podcasts/","https://www.postcarbon.org/about-us/faqs/","Resilience media audience; exact subscriber count not verified","https://www.postcarbon.org/","Active articles and podcasts","Essay excerpt or podcast","Money and credit after fossil-fueled growth","5","Strong bridge beyond monetary reform","https://www.postcarbon.org/ | https://www.resilience.org/podcasts/"
"Resilience.org","Organization","Post Carbon Institute","Post-growth / resilience","Article and podcast platform for resilience, climate, overshoot, economy, and community response","https://www.resilience.org/","https://www.resilience.org/contact/","","","https://www.resilience.org/podcasts/","","Active media platform; exact reach not verified","https://www.resilience.org/podcasts/","Active podcast page","Book excerpt or author interview","Money reform as resilience infrastructure","5","Likely travel channel for a sophisticated excerpt","https://www.resilience.org/podcasts/"
"Tim Morgan","Person","Surplus Energy Economics","Energy economics / post-growth","Post-growth economist/blogger using SEEDS model; frames money as claim","https://surplusenergyeconomics.wordpress.com/","https://surplusenergyeconomics.wordpress.com/","","","","","Specialist readership; exact reach not verified","https://surplusenergyeconomics.wordpress.com/","Recent posts in scan","Review or essay exchange","Greco complements money-as-claim energy economics","4","Good analytical review target","https://surplusenergyeconomics.wordpress.com/"
"Institute for Local Self-Reliance","Organization","ILSR","Localism / cooperative economics","National research and advocacy organization focused on local power and accountable local economies","https://ilsr.org/","https://ilsr.org/contact/","","","https://ilsr.org/podcasts/","https://ilsr.org/","National advocacy audience; exact reach not verified","https://ilsr.org/","Active newsletter and podcasts","Podcast or newsletter mention","Exchange systems as local power","4","Strong non-niche bridge","https://ilsr.org/ | https://ilsr.org/podcasts/"
"Transition Network","Organization","Transition Network","Bioregionalism / resilience","International movement of local groups focused on fossil-fuel reduction, local economies, and community connection","https://transitionnetwork.org/","https://transitionnetwork.org/contact/","","","","","Movement in 67 countries","https://transitionnetwork.org/about-the-movement/what-is-transition/characteristics/","Active movement site","Reading group, webinar, chapter circulation","Local economies need local exchange capacity","4","Large but diffuse channel","https://transitionnetwork.org/about-the-movement/what-is-transition/characteristics/"
"Shareable","Organization","Shareable","Commons / solidarity economy","Media and toolkits for sharing projects, solidarity economy, and people-powered community systems","https://www.shareable.net/","https://www.shareable.net/contact/","","","","https://www.shareable.net/participate/","Media/newsletter audience; exact reach not verified","https://www.shareable.net/participate/","Active participate/newsletter page","Excerpt or interview","Mutual credit as community sharing infrastructure","4","Good story-based audience","https://www.shareable.net/participate/"
"Grassroots Economics","Organization","Grassroots Economics","Community currencies / regenerative finance","Develops community asset vouchers and economic commons in Kenya; reports 50,000+ registered users in earlier CIC growth milestone","https://grassrootseconomics.org/","https://grassrootseconomics.org/contact/","","","","","50,000+ registered users cited on official history page","https://grassrootseconomics.org/about/","Active organization site","Case-study dialogue or endorsement","Community exchange is real, measurable, and global","4","Use as proof point more than primary sales channel","https://grassrootseconomics.org/about/"
"Community Exchange System","Organization","Community Exchange System / LETS networks","Local exchange trading systems","Global internet-based trading network for non-national-currency exchange; useful practitioner proof point","https://www.community-exchange.org/","","","","","","Global LETS network; exact current reach not verified","https://en.wikipedia.org/wiki/Community_Exchange_System","Public source, current official metrics not verified","Practitioner circulation","Greco for LETS organizers","3","Needs current official verification before publisher use","https://en.wikipedia.org/wiki/Community_Exchange_System"
"Catherine Austin Fitts","Person","Solari","Financial sovereignty","Founder of Solari; audience around financial markets, sovereignty, and institutional trust","https://solari.com/","https://solari.com/contact/","","","https://solari.com/money-markets/","https://solari.com/","Subscriber audience; size not public in scan","https://solari.com/about-us/","Active weekly programming","Interview","Greco offers serious monetary sovereignty beyond slogans","4","Ideological tone requires sober framing","https://solari.com/about-us/ | https://solari.com/money-markets/"
"Solari Report","Organization","Solari","Financial sovereignty / CBDC skepticism","Subscriber media and briefings around finance, markets, geopolitics, risk, and sovereignty","https://solari.com/","https://solari.com/contact/","","","https://solari.com/money-markets/","https://solari.com/","Subscriber platform; count not public in scan","https://solari.com/about-us/","Active weekly videos/audios","Interview or review","Money sovereignty without speculative crypto framing","4","High reach possible but polarizing channel","https://solari.com/about-us/"
"Atlantic Council CBDC Tracker","Organization/Resource","Atlantic Council GeoEconomics Center","CBDC / monetary policy","Public tracker showing CBDCs as mainstream global policy issue","https://www.atlanticcouncil.org/cbdctracker/","","","","","","Every G20 country except US exploring CBDC; 18 advanced","https://www.atlanticcouncil.org/cbdctracker/","Updated tracker","Evidence source, not outreach target","Use as proof that monetary architecture is mainstream","3","Do not pitch as ideological ally","https://www.atlanticcouncil.org/cbdctracker/"
"Financial Stability Board","Organization/Resource","FSB","Stablecoins / crypto regulation","Global financial standards body tracking crypto and stablecoin regulatory gaps","https://www.fsb.org/","https://www.fsb.org/contact/","","","","","Policy authority; not audience channel","https://www.fsb.org/2025/10/fsb-finds-significant-gaps-and-inconsistencies-in-implementation-of-crypto-and-stablecoin-recommendations/","Active 2025 review","Evidence source","Stablecoin regulation proves the money-design debate is live","2","Use for publisher proof, not outreach","https://www.fsb.org/2025/10/fsb-finds-significant-gaps-and-inconsistencies-in-implementation-of-crypto-and-stablecoin-recommendations/"
"Content Authenticity Initiative","Organization","CAI / C2PA ecosystem","AI governance / decentralized trust","Cross-industry community for content provenance and authenticity using C2PA standards","https://contentauthenticity.org/","https://contentauthenticity.org/membership","","","","","5,000+ members","https://contentauthenticity.org/our-members","Active membership/community pages","Thought piece bridge","From content provenance to exchange provenance","3","Bridge audience, not core audience","https://contentauthenticity.org/our-members | https://community.contentauthenticity.org/"
"Decentralized Identity Foundation","Organization","DIF","Decentralized identity / digital trust","Members develop standards and open-source components for interoperable decentralized identity","https://identity.foundation/","https://identity.foundation/join/","","","","","Standards community; exact reach not verified","https://identity.foundation/join/","Active membership page","Concept note or panel pitch","Identity, trust, and exchange governance","3","Bridge to AI/digital trust angle","https://identity.foundation/join/"
"Project Liberty","Organization","Project Liberty","Decentralized trust / social web","People-centered digital future and DSNP/decentralized social networking effort","https://www.projectliberty.io/","https://www.projectliberty.io/about/","","","","","Major public initiative; exact active audience not verified","https://www.projectliberty.io/about/","Active website","Essay/panel bridge","Digital trust must include economic trust","3","Useful for modern trust framing","https://www.projectliberty.io/about/ | https://www.mccourt.com/project-liberty/"
"Berrett-Koehler community","Organization","Berrett-Koehler","Publisher ecosystem","Potential publisher community for author talks and positive-change audience","https://www.bkconnection.com/","https://ideas.bkconnection.com/bkcommunity-join","","","","https://ideas.bkconnection.com/bkcommunity-join","Publisher community; exact audience size not verified","https://ideas.bkconnection.com/bkcommunity-join","Active community page","Internal author-talk framing","This is a positive-change book with live adjacent markets","3","Internal channel, not external market proof","https://ideas.bkconnection.com/bkcommunity-join"
"Chelsea Green Publishing","Organization","Chelsea Green","Sustainable living / regenerative publishing ecosystem","Adjacent book ecosystem for sustainability, homesteading, regenerative agriculture, and local living readers","https://www.chelseagreen.com/","https://www.chelseagreen.com/contact/","","","","","Long-running sustainable living publisher since 1984","https://www.chelseagreen.com/","Active retail and editorial site","Comparable ecosystem / bookseller proof","Sustainability readers are ready for monetary systems","3","Use as adjacent ecosystem evidence","https://www.chelseagreen.com/"
"New Economics Foundation","Organization","NEF","New economics / policy","Policy and economics organization relevant to systemic economic alternatives","https://neweconomics.org/","https://neweconomics.org/contact","","","","","Policy audience; reach not verified in scan","https://neweconomics.org/","Needs follow-up verification","Review or policy note","Monetary design as public-interest economics","3","Useful but not researched deeply in this pass","https://neweconomics.org/"
"Ethical Markets","Organization","Ethical Markets","Green economy / monetary reform","Hazel Henderson's ecosystem; historical endorsement relevance to Greco","https://www.ethicalmarkets.com/","https://www.ethicalmarkets.com/contact/","","","","","Specialist green economy audience; reach not verified","https://beyondmoney.net/the-end-of-money-and-the-future-of-civilization/","Needs current verification","Review/archive mention","Update Hazel Henderson's green economy context","3","Good continuity target","https://beyondmoney.net/the-end-of-money-and-the-future-of-civilization/ | https://www.ethicalmarkets.com/"
